cruise,file,date,file_duration,lat,lon,conductivity,salinity,ocean_tmp,par,bulk_red,stream_pressure,flow_rate,event_rate
DeepDOM,2013_084/1.evt,2013-03-25T22:26:18+00:00,180,-35.27008333,-53.91933333,4.27987,30.3408,20.696,2.88,315.3193,11.46,2448.294852,6554
DeepDOM,2013_084/2.evt,2013-03-25T22:29:19+00:00,180,-35.27505,-53.90885,4.28252,30.3495,20.7131,2.13,289.713,12,2495.46094,10374
DeepDOM,2013_084/3.evt,2013-03-25T22:32:19+00:00,180,-35.28021667,-53.89793333,4.2727,30.2842,20.6959,2.13,203.3337,12,2495.46094,10099
DeepDOM,2013_084/4.evt,2013-03-25T22:35:19+00:00,180,-35.28566667,-53.88713333,4.2736,30.2921,20.6948,1.88,178.3893,12,2495.46094,9959
DeepDOM,2013_084/5.evt,2013-03-25T22:38:19+00:00,180,-35.29128333,-53.87611667,4.27252,30.3122,20.6545,2.63,165.5252,12,2495.46094,9796
DeepDOM,2013_084/6.evt,2013-03-25T22:41:19+00:00,180,-35.29753333,-53.86418333,4.27811,30.3648,20.6428,2.88,151.3647,12,2495.46094,10205
DeepDOM,2013_084/7.evt,2013-03-25T22:44:20+00:00,180,-35.30366667,-53.85273333,4.29074,30.4444,20.6713,2.38,149.6851,12,2495.46094,10331
DeepDOM,2013_084/8.evt,2013-03-25T22:47:20+00:00,180,-35.30956667,-53.84185,4.31424,30.6636,20.6255,2.38,143.7294,12,2495.46094,10005
DeepDOM,2013_084/9.evt,2013-03-25T22:50:20+00:00,180,-35.31528333,-53.83156667,4.31073,30.6536,20.6007,2.63,142.0287,12,2495.46094,9959
DeepDOM,2013_084/10.evt,2013-03-25T22:53:20+00:00,180,-35.32088333,-53.82161667,4.27173,30.4185,20.4969,2.13,135.7076,12,2495.46094,10135
DeepDOM,2013_084/11.evt,2013-03-25T22:56:20+00:00,180,-35.32688333,-53.8108,4.2275,30.131,20.4074,2.13,125.3554,12,2495.46094,10576
DeepDOM,2013_084/12.evt,2013-03-25T22:59:21+00:00,180,-35.33255,-53.80048333,4.21859,30.0701,20.3933,1.88,118.6509,12,2495.46094,11091
DeepDOM,2013_084/13.evt,2013-03-25T23:02:21+00:00,180,-35.33856667,-53.78953333,4.21858,30.0583,20.4099,1.88,117.8062,12,2495.46094,11340
DeepDOM,2013_084/14.evt,2013-03-25T23:05:21+00:00,180,-35.34471667,-53.77833333,4.21989,30.0433,20.4458,2.38,121.2972,12,2495.46094,11409
DeepDOM,2013_084/15.evt,2013-03-25T23:08:21+00:00,180,-35.35068333,-53.76716667,4.22073,30.0288,20.4756,2.13,123.8694,12,2495.46094,11457
DeepDOM,2013_084/16.evt,2013-03-25T23:11:22+00:00,180,-35.35705,-53.75536667,4.22442,30.0246,20.523,2.13,123.6928,12,2495.46094,11320
DeepDOM,2013_084/17.evt,2013-03-25T23:14:22+00:00,180,-35.36251667,-53.74516667,4.22496,30.0132,20.5453,2.13,125.1023,12,2495.46094,11094
DeepDOM,2013_084/18.evt,2013-03-25T23:17:22+00:00,180,-35.36861667,-53.73398333,4.22488,30.0052,20.5557,2.88,124.4899,12,2495.46094,11035
DeepDOM,2013_084/19.evt,2013-03-25T23:20:22+00:00,180,-35.37473333,-53.72261667,4.22386,29.99,20.5657,2.13,123.161,12,2495.46094,11254
DeepDOM,2013_084/20.evt,2013-03-25T23:23:23+00:00,180,-35.38065,-53.71186667,4.22358,29.9677,20.5943,2.13,168.9418,12,2495.46094,14457
DeepDOM,2013_084/21.evt,2013-03-25T23:26:23+00:00,180,-35.38681667,-53.70056667,4.22278,29.9561,20.6017,2.13,120.842,12,2495.46094,17464
DeepDOM,2013_084/22.evt,2013-03-25T23:29:23+00:00,180,-35.39288333,-53.68961667,4.22166,29.9365,20.617,2.38,125.7054,12,2495.46094,17120
DeepDOM,2013_084/23.evt,2013-03-25T23:32:23+00:00,180,-35.39866667,-53.67793333,4.21657,29.9033,20.607,2.38,123.9208,12,2495.46094,13461
DeepDOM,2013_084/24.evt,2013-03-25T23:35:23+00:00,180,-35.40403333,-53.6665,4.21139,29.8662,20.6015,2.38,118.3558,12,2495.46094,14292
DeepDOM,2013_084/25.evt,2013-03-25T23:38:23+00:00,180,-35.40943333,-53.65513333,4.20444,29.8212,20.5873,2.13,113.8831,12,2495.46094,14394
DeepDOM,2013_084/26.evt,2013-03-25T23:41:24+00:00,180,-35.41475,-53.64401667,4.20736,29.8456,20.5854,2.38,117.1406,12,2495.46094,14345
DeepDOM,2013_084/27.evt,2013-03-25T23:44:24+00:00,180,-35.41993333,-53.63301667,4.22695,30.0729,20.4831,2.38,119.461,12,2495.46094,11541
DeepDOM,2013_084/28.evt,2013-03-25T23:47:24+00:00,180,-35.42516667,-53.62173333,4.22424,30.0674,20.4605,2.38,122.0288,12,2495.46094,10505
DeepDOM,2013_084/29.evt,2013-03-25T23:50:25+00:00,180,-35.43091667,-53.60925,4.23234,30.0637,20.5565,2.38,119.6546,12,2495.46094,10504
DeepDOM,2013_084/30.evt,2013-03-25T23:53:25+00:00,180,-35.43625,-53.59763333,4.23415,30.1721,20.4238,2.38,120.8317,12,2495.46094,10369
DeepDOM,2013_084/31.evt,2013-03-25T23:56:25+00:00,180,-35.44066667,-53.58823333,4.22926,30.0762,20.5042,2.38,118.0929,12,2495.46094,10218
DeepDOM,2013_085/26.evt,2013-03-26T00:59:08+00:00,180,-35.56236667,-53.35303333,4.43482,31.8115,20.3722,1.88,82.9351,12.81,2564.158711,8347
DeepDOM,2013_085/27.evt,2013-03-26T01:02:08+00:00,180,-35.56793333,-53.34141667,4.45724,32.0262,20.326,2.38,80.4846,12,2495.46094,11563
DeepDOM,2013_085/28.evt,2013-03-26T01:05:08+00:00,180,-35.57163333,-53.3338,4.46143,32.0628,20.3221,2.38,79.3419,12,2495.46094,11091
DeepDOM,2013_085/29.evt,2013-03-26T01:08:08+00:00,180,-35.57711667,-53.32233333,4.45977,32.0818,20.2794,2.38,81.5599,12,2495.46094,10801
DeepDOM,2013_085/30.evt,2013-03-26T01:11:09+00:00,180,-35.58246667,-53.3113,4.45197,31.99,20.318,2.13,83.4124,12,2495.46094,10828
DeepDOM,2013_085/31.evt,2013-03-26T01:14:09+00:00,180,-35.58873333,-53.29886667,4.45583,32.0084,20.3345,2.13,82.428,12,2495.46094,10699
DeepDOM,2013_085/32.evt,2013-03-26T01:17:09+00:00,180,-35.59468333,-53.28725,4.46496,32.0786,20.3387,2.13,84.716,12,2495.46094,10549
DeepDOM,2013_085/33.evt,2013-03-26T01:20:10+00:00,180,-35.59945,-53.27798333,4.47958,32.156,20.3914,2.38,80.8795,11.99,2494.598898,10236
DeepDOM,2013_085/34.evt,2013-03-26T01:23:10+00:00,180,-35.60626667,-53.26505,4.49097,32.2942,20.33,2.38,85.2785,12,2495.46094,9613
DeepDOM,2013_085/35.evt,2013-03-26T01:26:10+00:00,180,-35.61223333,-53.25403333,4.50334,32.4274,20.2861,2.88,81.8335,12,2495.46094,9197
DeepDOM,2013_085/36.evt,2013-03-26T01:29:10+00:00,180,-35.61815,-53.24296667,4.50811,32.5314,20.2009,2.38,80.4225,12,2495.46094,8733
DeepDOM,2013_085/37.evt,2013-03-26T01:32:10+00:00,180,-35.62403333,-53.23158333,4.51206,32.6296,20.115,2.38,76.9647,12,2495.46094,8346
DeepDOM,2013_085/38.evt,2013-03-26T01:35:11+00:00,180,-35.62973333,-53.22033333,4.50335,32.6493,19.9985,2.38,73.6066,12,2495.46094,8298
DeepDOM,2013_085/39.evt,2013-03-26T01:38:11+00:00,180,-35.63573333,-53.20851667,4.50131,32.6214,20.0132,2.38,76.3314,12,2495.46094,8465
DeepDOM,2013_085/40.evt,2013-03-26T01:41:11+00:00,180,-35.64151667,-53.19706667,4.49548,32.5585,20.0334,2.38,90.2995,12,2495.46094,8619
DeepDOM,2013_085/41.evt,2013-03-26T01:44:11+00:00,180,-35.64713333,-53.1859,4.49487,32.525,20.0703,2.88,79.5183,12,2495.46094,8569
DeepDOM,2013_085/42.evt,2013-03-26T01:47:12+00:00,180,-35.65243333,-53.17501667,4.5066,32.6901,19.9799,2.88,72.3411,12,2495.46094,8068
DeepDOM,2013_085/43.evt,2013-03-26T01:50:12+00:00,180,-35.65805,-53.16328333,4.49724,32.6921,19.8795,2.88,85.6091,12,2495.46094,7958
DeepDOM,2013_085/44.evt,2013-03-26T01:53:12+00:00,180,-35.6637,-53.15173333,4.4835,32.5273,19.9482,2.88,77.7248,12,2495.46094,8354
DeepDOM,2013_085/45.evt,2013-03-26T01:56:13+00:00,180,-35.66895,-53.141,4.49043,32.4879,20.0718,2.38,80.881,12,2495.46094,8510
DeepDOM,2013_085/46.evt,2013-03-26T01:59:13+00:00,180,-35.67438333,-53.13013333,4.50215,32.5566,20.1058,2.38,80.9268,12,2495.46094,8398
DeepDOM,2013_085/47.evt,2013-03-26T02:02:13+00:00,180,-35.67986667,-53.11928333,4.5191,32.7059,20.09,2.88,86.4752,12,2495.46094,8071
DeepDOM,2013_085/48.evt,2013-03-26T02:05:13+00:00,180,-35.68505,-53.10911667,4.53367,32.8285,20.0842,2.88,81.5942,12,2495.46094,7670
DeepDOM,2013_085/49.evt,2013-03-26T02:08:14+00:00,180,-35.69083333,-53.09775,4.52565,32.78,20.063,2.38,81.174,12,2495.46094,7600
DeepDOM,2013_085/50.evt,2013-03-26T02:11:14+00:00,180,-35.69583333,-53.08808333,4.52312,32.7146,20.1208,2.38,72.5511,12,2495.46094,7717
DeepDOM,2013_085/51.evt,2013-03-26T02:14:14+00:00,180,-35.70173333,-53.07658333,4.51818,32.619,20.1927,2.38,71.9065,12,2495.46094,7970
DeepDOM,2013_085/52.evt,2013-03-26T02:17:14+00:00,180,-35.70738333,-53.06571667,4.51594,32.5641,20.2404,2.38,75.43,12,2495.46094,8119
DeepDOM,2013_085/53.evt,2013-03-26T02:20:15+00:00,180,-35.71305,-53.05471667,4.51805,32.5372,20.2975,2.38,70.0659,12,2495.46094,8179
DeepDOM,2013_085/54.evt,2013-03-26T02:23:15+00:00,180,-35.71871667,-53.04378333,4.52142,32.5347,20.336,2.38,70.4892,12,2495.46094,8212
DeepDOM,2013_085/55.evt,2013-03-26T02:26:15+00:00,180,-35.72411667,-53.03311667,4.52446,32.5423,20.3578,2.38,78.3528,12,2495.46094,8163
DeepDOM,2013_085/56.evt,2013-03-26T02:29:15+00:00,180,-35.72976667,-53.02185,4.52366,32.5431,20.3485,2.38,76.9473,12,2495.46094,8148
DeepDOM,2013_085/57.evt,2013-03-26T02:32:16+00:00,180,-35.73505,-53.01131667,4.52393,32.5484,20.3445,2.38,76.9334,12,2495.46094,8056
DeepDOM,2013_085/58.evt,2013-03-26T02:35:16+00:00,180,-35.74106667,-52.99933333,4.52634,32.5625,20.3512,2.38,69.7056,12,2495.46094,8121
DeepDOM,2013_085/59.evt,2013-03-26T02:38:16+00:00,180,-35.74676667,-52.98778333,4.52974,32.5754,20.3701,2.38,73.2275,12,2495.46094,8036
DeepDOM,2013_085/60.evt,2013-03-26T02:41:17+00:00,180,-35.75228333,-52.97665,4.53345,32.5893,20.3908,2.88,71.0423,12,2495.46094,7996
DeepDOM,2013_085/61.evt,2013-03-26T02:44:17+00:00,180,-35.758,-52.96486667,4.53098,32.569,20.3913,2.38,73.6271,12,2495.46094,8008
DeepDOM,2013_085/62.evt,2013-03-26T02:47:17+00:00,180,-35.76363333,-52.95348333,4.52659,32.5423,20.3801,2.38,67.6136,12,2495.46094,8039
